hafta;dakika;blok
6;117.85;1
6;205.72;2
6;85.72;3
6;57.85;4
6;165;5
6;177.85;6
6;225;7
6;115.72;8
6;81.43;9
6;94.28;10
6;81.43;11
6;102.85;12
6;55.72;13
6;169.28;14
6;98.57;15
6;128.57;16
6;120;17
6;90;18
6;120;19
6;94.28;20
6;120;21
6;68.57;22
6;102.85;23
6;81.43;24
6;94.28;25
6;60;26
6;6.43;27
6;57.85;28
6;72.85;29
6;137.15;30
6;111.43;31
6;94.28;32
6;128.57;33
12;83.57;1
12;98.57;2
12;30;3
12;30;4
12;90;5
12;42.85;6
12;77.15;7
12;117.85;8
12;68.57;9
12;51.43;10
12;49.28;11
12;62.15;12
12;0;13
12;62.15;14
12;175.72;15
12;60;16
12;102.85;17
12;85.72;18
12;192.85;19
12;55.72;20
12;51.43;21
12;90;22
12;57.85;23
12;4.28;24
12;98.57;25
12;79.28;26
12;21.43;27
12;51.43;28
12;115.72;29
12;77.15;30
12;188.57;31
12;115.72;32
12;81.43;33
18;117.85;1
18;40.72;2
18;12.85;3
18;32.15;4
18;34.28;5
18;17.15;6
18;42.85;7
18;68.57;8
18;115.72;9
18;51.43;10
18;32.15;11
18;60;12
18;32.15;13
18;70.72;14
18;162.85;15
18;30;16
18;42.85;17
18;64.28;18
18;77.15;19
18;25.72;20
18;60;21
18;68.57;22
18;42.85;23
18;30;24
18;72.85;25
18;64.28;26
18;68.57;27
18;40.72;28
18;117.85;29
18;66.43;30
18;94.28;31
18;42.85;32
18;68.57;33
